Training Alpaca-LoRA model with params:
base_model: /data/llmweights/llama-2-7b-hf
cf_model: ./df_data/TKY/cf_emb/lgn-3-128.pth.tar
data_path: ./df_data/TKY/train.json
val_set_size: 10000
description_path: ./df_data/TKY/description_train.npy
sample: -1
seed: 2024
output_dir: /data/Secor/TKY0612
batch_size: 64
micro_batch_size: 8
num_epochs: 5
learning_rate: 0.0001
cutoff_len: 512
lora_r: 8
lora_alpha: 16
lora_dropout: 0.05
lora_target_modules: ['q_proj', 'v_proj']
train_on_inputs: True
group_by_length: False
resume_from_checkpoint: None

trainable params: 4,194,304 || all params: 6,743,138,304 || trainable%: 0.062201067380035155
{'loss': 48.4403, 'grad_norm': 230.86691284179688, 'learning_rate': 5e-06, 'epoch': 0.02}
{'loss': 36.3815, 'grad_norm': 117.75175476074219, 'learning_rate': 4.5e-05, 'epoch': 0.03}
{'loss': 38.0257, 'grad_norm': 178.1666717529297, 'learning_rate': 8.5e-05, 'epoch': 0.05}
{'loss': 27.9685, 'grad_norm': 139.16958618164062, 'learning_rate': 9.97844827586207e-05, 'epoch': 0.07}
{'loss': 18.3325, 'grad_norm': 86.62152099609375, 'learning_rate': 9.943965517241379e-05, 'epoch': 0.09}
{'loss': 11.8207, 'grad_norm': 106.78350067138672, 'learning_rate': 9.90948275862069e-05, 'epoch': 0.1}
{'loss': 8.2206, 'grad_norm': 69.48047637939453, 'learning_rate': 9.875000000000002e-05, 'epoch': 0.12}
{'loss': 7.7342, 'grad_norm': 101.89418029785156, 'learning_rate': 9.840517241379311e-05, 'epoch': 0.14}
{'loss': 6.0957, 'grad_norm': 48.37065124511719, 'learning_rate': 9.806034482758621e-05, 'epoch': 0.15}
{'loss': 5.8324, 'grad_norm': 43.80260467529297, 'learning_rate': 9.771551724137932e-05, 'epoch': 0.17}
{'loss': 5.4517, 'grad_norm': 33.906951904296875, 'learning_rate': 9.737068965517242e-05, 'epoch': 0.19}
{'loss': 5.1519, 'grad_norm': 38.030643463134766, 'learning_rate': 9.702586206896553e-05, 'epoch': 0.2}
